snapshot,cantidad_consorcios,administradores
2026-07,0,3834
2026-07,1,929
2026-07,2,428
2026-07,3,104
2026-07,4,46
2026-07,5,34
2026-07,6,30
2026-07,7,28
2026-07,8,22
2026-07,9,17
2026-07,10,13
2026-07,11,18
2026-07,12,16
2026-07,13,20
2026-07,14,7
2026-07,15,11
2026-07,16,3
2026-07,17,10
2026-07,18,9
2026-07,19,3
2026-07,20,10
2026-07,21,5
2026-07,22,3
2026-07,23,4
2026-07,24,2
2026-07,25,6
2026-07,26,6
2026-07,27,5
2026-07,28,4
2026-07,30,4
2026-07,31,3
2026-07,32,2
2026-07,33,3
2026-07,34,3
2026-07,35,1
2026-07,36,3
2026-07,37,1
2026-07,38,1
2026-07,39,1
2026-07,40,1
2026-07,41,3
2026-07,42,2
2026-07,43,1
2026-07,47,2
2026-07,51,1
2026-07,52,1
2026-07,54,1
2026-07,56,1
2026-07,58,1
2026-07,64,1
2026-07,66,1
2026-07,68,1
2026-07,80,1
2026-07,82,1
2026-07,94,1
2026-07,98,1
2026-07,102,1
