codigo_postal,cantidad
0000,1
1001,4
1002,3
1003,6
1004,4
1005,3
1006,9
1007,12
1008,6
1009,9
1010,3
1011,1
1012,5
1013,6
1014,4
1015,11
1016,2
1017,19
1018,2
1019,11
1020,11
1021,5
1022,10
1023,3
1024,4
1025,3
1026,10
1027,4
1028,4
1029,3
1030,3
1031,4
1032,5
1033,6
1034,3
1035,4
1036,2
1037,5
1038,2
1039,4
1040,7
1041,4
1042,8
1043,15
1044,1
1045,5
1046,3
1047,1
1048,26
1049,10
1050,16
1051,3
1052,2
1053,3
1054,2
1055,17
1056,10
1057,7
1058,5
1059,3
1060,6
1061,3
1062,4
1063,2
1064,2
1065,3
1066,5
1067,2
1069,6
1070,9
1071,4
1072,6
1073,6
1074,4
1075,6
1076,8
1077,5
1078,3
1079,1
1080,1
1081,5
1082,5
1083,2
1084,7
1085,1
1086,4
1088,10
1089,5
1090,9
1091,1
1092,2
1093,9
1094,7
1095,2
1096,10
1097,4
1098,6
1099,1
1100,3
1101,2
1102,3
1103,6
1104,56
1106,1
1107,16
1110,5
1111,3
1112,1
1113,7
1114,1
1115,1
1116,5
1117,7
1118,2
1119,7
1120,5
1121,8
1122,6
1123,6
1124,3
1126,5
1127,5
1128,2
1130,3
1133,2
1134,2
1135,4
1136,2
1137,9
1138,3
1139,6
1140,5
1141,6
1143,5
1147,1
1148,3
1150,3
1152,2
1153,5
1154,6
1155,6
1156,1
1157,1
1158,5
1159,3
1160,2
1161,2
1162,3
1163,1
1164,1
1165,3
1166,4
1167,2
1169,4
1170,3
1171,3
1172,4
1173,4
1174,6
1175,9
1176,10
1177,14
1178,3
1179,6
1180,4
1181,9
1182,3
1183,6
1184,10
1185,3
1186,9
1187,5
1188,2
1189,3
1190,4
1191,7
1192,7
1193,2
1194,2
1195,2
1196,3
1197,8
1198,4
1199,3
1200,2
1201,8
1202,3
1203,9
1204,9
1205,5
1206,8
1207,1
1208,4
1209,3
1210,1
1212,3
1213,9
1214,4
1215,4
1216,1
1217,4
1218,7
1219,10
1220,3
1221,4
1222,5
1223,3
1224,2
1225,10
1226,3
1227,6
1228,5
1229,5
1230,6
1231,10
1232,8
1233,6
1234,1
1235,2
1236,1
1237,1
1238,2
1239,2
1240,2
1242,3
1243,4
1244,5
1245,2
1246,4
1247,3
1249,5
1250,1
1251,2
1252,3
1253,1
1254,2
1255,2
1256,5
1257,4
1258,4
1259,4
1260,1
1261,1
1262,8
1263,1
1264,4
1265,5
1266,2
1267,2
1268,6
1269,1
1270,15
1274,2
1275,1
1276,1
1282,2
1283,1
1284,4
1286,4
1288,7
1289,1
1290,3
1293,1
1295,3
1296,2
1405,120
1406,230
1407,156
1408,70
1414,120
1416,115
1417,96
1419,123
1424,122
1425,239
1426,156
1427,74
1428,138
1429,102
1430,71
1431,145
1437,56
1439,120
1440,46
1485,1
1708,1
1865,2
1870,1
1876,1
Sin dato,248
