matricula_hash,estado,cantidad_consorcios,tiene_sanciones
38099af079394374,SIN ACTUALIZAR,1,No
30f085740adf3cf4,SIN ACTUALIZAR,1,No
f0d588a225e6e6ba,SIN ACTUALIZAR,3,No
f5487450820b4381,SIN ACTUALIZAR,1,No
b5a711fe7e920518,SIN ACTUALIZAR,1,No
c03cd77a31b20f4f,SIN ACTUALIZAR,2,No
3005568d8ad5da4c,SIN ACTUALIZAR,1,No
82358c18f24a023d,SIN ACTUALIZAR,0,No
696d9363dc5a9999,SIN ACTUALIZAR,1,No
afc29d7e2a516e2f,SIN ACTUALIZAR,1,No
04db56ea3df5beb6,SIN ACTUALIZAR,1,No
b3747d762f5c9643,SIN ACTUALIZAR,1,No
08622bb25a95ee13,ACTIVA,1,No
303c8bd55875dda2,SIN ACTUALIZAR,2,No
e9f86b73c579e902,SIN ACTUALIZAR,1,No
e0f8aece47e9bfb3,SIN ACTUALIZAR,1,No
2e4fd128c6554049,SIN ACTUALIZAR,1,No
c1ee712bc2305903,SIN ACTUALIZAR,2,No
0723fc392f532162,SIN ACTUALIZAR,1,No
3f1d0ba20a500fae,ACTIVA,2,No
e7ec0fc630048b57,SIN ACTUALIZAR,1,No
66e2b63c38c52adf,ACTIVA,1,No
b6382ae39dbfb7cb,SIN ACTUALIZAR,1,No
12429437d915a7f4,SIN ACTUALIZAR,1,No
b76d237bd414f195,SIN ACTUALIZAR,1,No
44f1bbc5b4c9e9a4,ACTIVA,1,No
8eeef1856d3f03dc,SIN ACTUALIZAR,2,No
fa2af8812e4ec6cb,SIN ACTUALIZAR,2,No
33ad40f67225e58a,ACTIVA,1,No
16544eb4badd22d6,SIN ACTUALIZAR,1,No
61d59da237d7a78c,ACTIVA,2,No
fe506bf7287a8f27,SIN ACTUALIZAR,0,No
199171b47801c577,ACTIVA,1,No
b5b73a69873c47cc,SIN ACTUALIZAR,2,No
1b9fc6751bc01563,SIN ACTUALIZAR,0,No
87d8e3aa624e9deb,SIN ACTUALIZAR,0,No
09e2a24866a292c6,SIN ACTUALIZAR,0,No
6a42036d7846de91,SIN ACTUALIZAR,0,No
202f269c110dd9e7,SIN ACTUALIZAR,0,No
05f44b2a613ecba0,SIN ACTUALIZAR,0,No
ee4e410c9ca211a3,SIN ACTUALIZAR,0,No
47893926b27c0e55,SIN ACTUALIZAR,0,No
ee9f550cd843a72b,SIN ACTUALIZAR,0,No
50a479b3a2e13ddd,SIN ACTUALIZAR,0,No
40da37bedd763528,SIN ACTUALIZAR,0,No
db79ca4a838f6284,SIN ACTUALIZAR,0,No
ba846ba43a06b7da,SIN ACTUALIZAR,0,No
e86c18c2174e4030,SIN ACTUALIZAR,0,No
60233e3a42978643,SIN ACTUALIZAR,0,No
2b95ef22133c74d2,SIN ACTUALIZAR,0,No
0cf10a71b943122a,SIN ACTUALIZAR,0,No
cead18006a4de84e,SIN ACTUALIZAR,0,No
575a423f570e8f3e,SIN ACTUALIZAR,0,No
344d84df425d003c,SIN ACTUALIZAR,0,No
9e8aba6e606821af,SIN ACTUALIZAR,0,No
7845069dabd64024,SIN ACTUALIZAR,0,No
b2ca4f93866dc5f5,SIN ACTUALIZAR,0,No
03ffeecfb819d82d,SIN ACTUALIZAR,0,No
2fad7ac735854221,SIN ACTUALIZAR,0,No
51f4699a91350890,SIN ACTUALIZAR,0,No
df16685d2ef7c33b,SIN ACTUALIZAR,0,No
26d1f634cc382a2c,SIN ACTUALIZAR,0,No
e6d7c27ed9277639,SIN ACTUALIZAR,0,No
2ae7f5977ae429a1,SIN ACTUALIZAR,0,No
f6b425de5ed3574a,SIN ACTUALIZAR,0,No
4878258574ac40da,SIN ACTUALIZAR,0,No
1a523a39469bba43,ACTIVA,0,No
63c2925f4be7651e,ACTIVA,0,No
d83fac6483832a1d,SIN ACTUALIZAR,0,No
a657067450f8331c,SIN ACTUALIZAR,0,No
6e7dcabfd291e819,SIN ACTUALIZAR,0,No
6658580ba2ddc260,SIN ACTUALIZAR,0,No
9e5b96ac17a9be12,SIN ACTUALIZAR,0,No
a338ed179728f4c2,SIN ACTUALIZAR,0,No
b8ba5925257ad206,SIN ACTUALIZAR,0,No
af598ae6250c515b,SIN ACTUALIZAR,0,No
9646f275f10ae73f,SIN ACTUALIZAR,0,No
2a3c1f80a5cbb28f,SIN ACTUALIZAR,0,No
7780e013b7e89f9e,SIN ACTUALIZAR,0,No
875ec5e3d485ec70,SIN ACTUALIZAR,0,No
1f421e7c6162fa14,SIN ACTUALIZAR,0,No
8b50fd813a5ebbc4,SIN ACTUALIZAR,0,No
dd79b9e0625ed7ab,SIN ACTUALIZAR,0,No
d364771e6b6053d4,SIN ACTUALIZAR,0,No
6ef1e6909e5d2029,SIN ACTUALIZAR,0,No
972e2ce8b932010e,SIN ACTUALIZAR,0,No
5eab7d832cdbdedf,ACTIVA,0,No
1db61d94f05f92c5,SIN ACTUALIZAR,0,No
12221da4164b465f,SIN ACTUALIZAR,0,No
1b0e397c08ff8298,SIN ACTUALIZAR,0,No
a44bf5fd44895cd4,SIN ACTUALIZAR,0,No
761893cc2e27bc74,SIN ACTUALIZAR,0,No
e90944ccc2fb90d4,ACTIVA,0,Sí
9a328e5779cdb876,SIN ACTUALIZAR,0,No
11c74eb793a0b17e,SIN ACTUALIZAR,0,No
6bd54958b48209de,SIN ACTUALIZAR,0,No
2a7938a24f167374,SIN ACTUALIZAR,0,No
2bf43b9984209bfe,SIN ACTUALIZAR,0,No
9d06e5d38103e667,SIN ACTUALIZAR,0,No
a19668e8a412480d,SIN ACTUALIZAR,0,No
90f7a39c159a0f8d,SIN ACTUALIZAR,0,No
f9368faec8de957b,SIN ACTUALIZAR,0,No
88a15facff243cab,SIN ACTUALIZAR,0,No
86f9e8c5d25f2a9a,SIN ACTUALIZAR,0,No
10c4462b26fad071,SIN ACTUALIZAR,0,No
0b2e14bc7be96a22,ACTIVA,0,No
d68bf29fb4c1a946,SIN ACTUALIZAR,0,No
76febd7e9cf3b0c0,ACTIVA,0,No
